time,probability
5.077333,0.000000
5.098667,0.000000
5.120000,0.000000
5.141333,0.000000
5.162667,0.000000
5.184000,0.000000
5.205333,0.000000
5.226667,0.000019
5.248000,0.923116
5.269333,0.000567
5.290667,0.000000
5.312000,0.000000
5.333333,0.000000
5.354667,0.000000
5.376000,0.000000
5.397333,0.000000
5.418667,0.000000
5.440000,0.000000
5.461333,0.000000
5.482667,0.002457
5.504000,0.726149
5.525333,0.000000
5.546667,0.000000
5.568000,0.000000
5.589333,0.000000
5.610667,0.000000
5.632000,0.000000
5.653333,0.000000
5.674667,0.000000
5.696000,0.000000
5.717333,0.000000
5.738667,0.076621
5.760000,0.135335
5.781333,0.000000
5.802667,0.000000
5.824000,0.000000
5.845333,0.000000
5.866667,0.000000
5.888000,0.000000
5.909333,0.000000
5.930667,0.000000
5.952000,0.000000
5.973333,0.000001
5.994667,0.566154
6.016000,0.005976
6.037333,0.000000
6.058667,0.000000
6.080000,0.000000
6.101333,0.000000
6.122667,0.000000
6.144000,0.000000
6.165333,0.000000
6.186667,0.000000
6.208000,0.000000
6.229333,0.000195
6.250667,0.991151
6.272000,0.000000
6.293333,0.000000
6.314667,0.000000
6.336000,0.000000
6.357333,0.000000
6.378667,0.000000
6.400000,0.000000
6.421333,0.000000
6.442667,0.000000
6.464000,0.000000
6.485333,0.013538
6.506667,0.411112
6.528000,0.000000
6.549333,0.000000
6.570667,0.000000
6.592000,0.000000
6.613333,0.000000
6.634667,0.000000
6.656000,0.000000
6.677333,0.000000
6.698667,0.000000
6.720000,0.000000
6.741333,0.222635
6.762667,0.040401
6.784000,0.000000
6.805333,0.000000
6.826667,0.000000
6.848000,0.000000
6.869333,0.000000
6.890667,0.000000
6.912000,0.000000
6.933333,0.000000
6.954667,0.000000
6.976000,0.000010
6.997333,0.867428
7.018667,0.000941
7.040000,0.000000
7.061333,0.000000
7.082667,0.000000
7.104000,0.000000
7.125333,0.000000
7.146667,0.000000
7.168000,0.000000
7.189333,0.000000
7.210667,0.000000
7.232000,0.001534
7.253333,0.800737
7.274667,0.000000
7.296000,0.000000
7.317333,0.000000
7.338667,0.000000
7.360000,0.000000
7.381333,0.000000
7.402667,0.000000
7.424000,0.000000
7.445333,0.000000
7.466667,0.000000
7.488000,0.056135
7.509333,0.175131
7.530667,0.000000
7.552000,0.000000
7.573333,0.000000
